dataset_id,run_id,annotation_ids,split,organism_name
10000,245,all_membrane_annotations,test,Schizosaccharomyces pombe 972h-
10000,246,all_membrane_annotations,test,Schizosaccharomyces pombe 972h-
10000,247,all_membrane_annotations,test,Schizosaccharomyces pombe 972h-
10001,251,all_membrane_annotations,test,Schizosaccharomyces pombe 972h-
10001,254,all_membrane_annotations,test,Schizosaccharomyces pombe 972h-
10001,258,all_membrane_annotations,test,Schizosaccharomyces pombe 972h-
10010,11972,all_membrane_annotations,test,Mus musculus
10010,11988,all_membrane_annotations,test,Mus musculus
10010,12000,all_membrane_annotations,test,Mus musculus
10436,15943,all_membrane_annotations,test,Encephalitozoon intestinalis
10437,16039,all_membrane_annotations,test,Encephalitozoon intestinalis
10437,16114,all_membrane_annotations,test,Encephalitozoon intestinalis
10438,15936,all_membrane_annotations,test,Encephalitozoon hellem
10438,15937,all_membrane_annotations,test,Encephalitozoon hellem
10438,15939,all_membrane_annotations,test,Encephalitozoon hellem
polnet_data_3,polnet_data_3_generation_4,simulated_annotation,test,polnet_simulated_tomogram
polnet_data_3,polnet_data_3_generation_1,simulated_annotation,test,polnet_simulated_tomogram
polnet_data_3,polnet_data_3_generation_0,simulated_annotation,test,polnet_simulated_tomogram
polnet_data_3,polnet_data_3_generation_3,simulated_annotation,test,polnet_simulated_tomogram
polnet_data_3,polnet_data_3_generation_2,simulated_annotation,test,polnet_simulated_tomogram
polnet_data_4,polnet_data_4_generation_4,simulated_annotation,test,polnet_simulated_tomogram
polnet_data_4,polnet_data_4_generation_1,simulated_annotation,test,polnet_simulated_tomogram
polnet_data_4,polnet_data_4_generation_0,simulated_annotation,test,polnet_simulated_tomogram
polnet_data_4,polnet_data_4_generation_3,simulated_annotation,test,polnet_simulated_tomogram
polnet_data_4,polnet_data_4_generation_2,simulated_annotation,test,polnet_simulated_tomogram
